NO_UF,CO_MUNICIPIO,NO_MUNICIPIO,TP_DEPENDENCIA,QT_MAT_INF_soma,QT_MAT_INF_CRE_soma,QT_MAT_INF_PRE_soma
Rondônia,1100015,Alta Floresta D'Oeste,3,623,147,476
Rondônia,1100023,Ariquemes,3,2110,613,1497
Rondônia,1100031,Cabixi,3,209,66,143
Rondônia,1100049,Cacoal,3,2146,423,1723
Rondônia,1100056,Cerejeiras,3,669,267,402
Rondônia,1100064,Colorado do Oeste,3,547,211,336
Rondônia,1100072,Corumbiara,3,248,57,191
Rondônia,1100080,Costa Marques,3,416,64,352
Rondônia,1100098,Espigão D'Oeste,3,788,155,633
Rondônia,1100106,Guajará-Mirim,3,1027,276,751
Rondônia,1100114,Jaru,3,1621,527,1094
Rondônia,1100122,Ji-Paraná,3,2466,320,2146
Rondônia,1100130,Machadinho D'Oeste,3,957,212,745
Rondônia,1100148,Nova Brasilândia D'Oeste,3,565,180,385
Rondônia,1100155,Ouro Preto do Oeste,3,1195,438,757
Rondônia,1100189,Pimenta Bueno,3,1384,552,832
Rondônia,1100205,Porto Velho,3,12344,2594,9750
Rondônia,1100254,Presidente Médici,3,567,208,359
Rondônia,1100262,Rio Crespo,3,108,13,95
Rondônia,1100288,Rolim de Moura,3,1625,498,1127
Rondônia,1100296,Santa Luzia D'Oeste,3,200,57,143
Rondônia,1100304,Vilhena,3,3015,791,2224
Rondônia,1100320,São Miguel do Guaporé,3,662,165,497
Rondônia,1100338,Nova Mamoré,3,727,74,653
Rondônia,1100346,Alvorada D'Oeste,3,443,153,290
Rondônia,1100379,Alto Alegre dos Parecis,3,334,117,217
Rondônia,1100403,Alto Paraíso,3,230,76,154
Rondônia,1100452,Buritis,3,831,119,712
Rondônia,1100502,Novo Horizonte do Oeste,3,244,71,173
Rondônia,1100601,Cacaulândia,3,167,32,135
Rondônia,1100700,Campo Novo de Rondônia,3,311,91,220
Rondônia,1100809,Candeias do Jamari,3,860,185,675
Rondônia,1100908,Castanheiras,3,101,0,101
Rondônia,1100924,Chupinguaia,3,389,127,262
Rondônia,1100940,Cujubim,3,556,150,406
Rondônia,1101005,Governador Jorge Teixeira,3,251,53,198
Rondônia,1101104,Itapuã do Oeste,3,349,95,254
Rondônia,1101203,Ministro Andreazza,3,231,67,164
Rondônia,1101302,Mirante da Serra,3,294,52,242
Rondônia,1101401,Monte Negro,3,388,108,280
Rondônia,1101435,Nova União,3,164,10,154
Rondônia,1101450,Parecis,3,83,0,83
Rondônia,1101468,Pimenteiras do Oeste,3,98,30,68
Rondônia,1101476,Primavera de Rondônia,3,145,43,102
Rondônia,1101484,São Felipe D'Oeste,3,211,82,129
Rondônia,1101492,São Francisco do Guaporé,3,498,96,402
Rondônia,1101500,Seringueiras,3,308,0,308
Rondônia,1101559,Teixeirópolis,3,223,103,120
Rondônia,1101609,Theobroma,3,269,69,200
Rondônia,1101708,Urupá,3,352,99,253
Rondônia,1101757,Vale do Anari,3,218,23,195
Rondônia,1101807,Vale do Paraíso,3,197,51,146
Acre,1200013,Acrelândia,3,713,303,410
Acre,1200054,Assis Brasil,3,323,57,266
Acre,1200104,Brasiléia,3,1035,272,763
Acre,1200138,Bujari,3,486,204,282
Acre,1200179,Capixaba,3,535,117,418
Acre,1200203,Cruzeiro do Sul,3,4842,1554,3288
Acre,1200252,Epitaciolândia,3,772,175,597
Acre,1200302,Feijó,3,1141,168,973
Acre,1200328,Jordão,3,513,209,304
Acre,1200336,Mâncio Lima,3,1145,503,642
Acre,1200344,Manoel Urbano,3,409,127,282
Acre,1200351,Marechal Thaumaturgo,3,854,279,575
Acre,1200385,Plácido de Castro,3,718,177,541
Acre,1200393,Porto Walter,3,817,341,476
Acre,1200401,Rio Branco,3,13251,4424,8827
Acre,1200427,Rodrigues Alves,3,1616,1014,602
Acre,1200435,Santa Rosa do Purus,3,411,75,336
Acre,1200450,Senador Guiomard,3,1136,323,813
Acre,1200500,Sena Madureira,3,1103,226,877
Acre,1200609,Tarauacá,3,1625,242,1383
Acre,1200708,Xapuri,3,615,184,431
Acre,1200807,Porto Acre,3,808,284,524
Amazonas,1300029,Alvarães,3,1118,434,684
Amazonas,1300060,Amaturá,3,873,307,566
Amazonas,1300086,Anamã,3,471,74,397
Amazonas,1300102,Anori,3,603,130,473
Amazonas,1300144,Apuí,3,696,216,480
Amazonas,1300201,Atalaia do Norte,3,781,139,642
Amazonas,1300300,Autazes,3,1387,147,1240
Amazonas,1300409,Barcelos,3,912,239,673
Amazonas,1300508,Barreirinha,3,2073,594,1479
Amazonas,1300607,Benjamin Constant,3,2152,411,1741
Amazonas,1300631,Beruri,3,773,74,699
Amazonas,1300680,Boa Vista do Ramos,3,1118,464,654
Amazonas,1300706,Boca do Acre,3,863,93,770
Amazonas,1300805,Borba,3,1839,648,1191
Amazonas,1300839,Caapiranga,3,882,431,451
Amazonas,1300904,Canutama,3,441,65,376
Amazonas,1301001,Carauari,3,1619,520,1099
Amazonas,1301100,Careiro,3,1782,693,1089
Amazonas,1301159,Careiro da Várzea,3,706,118,588
Amazonas,1301209,Coari,3,2189,240,1949
Amazonas,1301308,Codajás,3,745,111,634
Amazonas,1301407,Eirunepé,3,2006,653,1353
Amazonas,1301506,Envira,3,775,170,605
Amazonas,1301605,Fonte Boa,3,1671,670,1001
Amazonas,1301654,Guajará,3,821,339,482
Amazonas,1301704,Humaitá,3,1883,281,1602
Amazonas,1301803,Ipixuna,3,602,38,564
Amazonas,1301852,Iranduba,3,2086,374,1712
Amazonas,1301902,Itacoatiara,3,3405,509,2896
Amazonas,1301951,Itamarati,3,674,216,458
Amazonas,1302009,Itapiranga,3,486,162,324
Amazonas,1302108,Japurá,3,803,377,426
Amazonas,1302207,Juruá,3,885,421,464
Amazonas,1302306,Jutaí,3,1831,681,1150
Amazonas,1302405,Lábrea,3,1272,255,1017
Amazonas,1302504,Manacapuru,3,3987,925,3062
Amazonas,1302553,Manaquiri,3,734,129,605
Amazonas,1302603,Manaus,3,50837,5978,44859
Amazonas,1302702,Manicoré,3,3325,1487,1838
Amazonas,1302801,Maraã,3,1403,714,689
Amazonas,1302900,Maués,3,2118,382,1736
Amazonas,1303007,Nhamundá,3,1000,299,701
Amazonas,1303106,Nova Olinda do Norte,3,1486,372,1114
Amazonas,1303205,Novo Airão,3,471,0,471
Amazonas,1303304,Novo Aripuanã,3,950,313,637
Amazonas,1303403,Parintins,3,4733,1291,3442
Amazonas,1303502,Pauini,3,513,145,368
Amazonas,1303536,Presidente Figueiredo,3,1610,522,1088
Amazonas,1303569,Rio Preto da Eva,3,1080,348,732
Amazonas,1303601,Santa Isabel do Rio Negro,3,792,201,591
Amazonas,1303700,Santo Antônio do Içá,3,2335,939,1396
Amazonas,1303809,São Gabriel da Cachoeira,3,2492,276,2216
Amazonas,1303908,São Paulo de Olivença,3,1725,137,1588
Amazonas,1303957,São Sebastião do Uatumã,3,337,0,337
Amazonas,1304005,Silves,3,448,52,396
Amazonas,1304062,Tabatinga,3,4471,1685,2786
Amazonas,1304104,Tapauá,3,939,241,698
Amazonas,1304203,Tefé,3,4325,1781,2544
Amazonas,1304237,Tonantins,3,1148,333,815
Amazonas,1304260,Uarini,3,684,199,485
Amazonas,1304302,Urucará,3,631,142,489
Amazonas,1304401,Urucurituba,3,1072,470,602
Roraima,1400027,Amajari,3,595,209,386
Roraima,1400050,Alto Alegre,3,717,139,578
Roraima,1400100,Boa Vista,3,12691,2477,10214
Roraima,1400159,Bonfim,3,739,33,706
Roraima,1400175,Cantá,3,807,35,772
Roraima,1400209,Caracaraí,3,958,288,670
Roraima,1400233,Caroebe,3,481,159,322
Roraima,1400282,Iracema,3,362,121,241
Roraima,1400308,Mucajaí,3,887,227,660
Roraima,1400407,Normandia,3,1853,967,886
Roraima,1400456,Pacaraima,3,1524,496,1028
Roraima,1400472,Rorainópolis,3,1449,435,1014
Roraima,1400506,São João da Baliza,3,426,185,241
Roraima,1400605,São Luiz,3,370,143,227
Roraima,1400704,Uiramutã,3,990,37,953
Pará,1500107,Abaetetuba,3,6203,1917,4286
Pará,1500131,Abel Figueiredo,3,328,95,233
Pará,1500206,Acará,3,3686,1441,2245
Pará,1500305,Afuá,3,1793,234,1559
